Parking ID,Car Park Name (English),Car Park Name (Traditional Chinese),Car Park Name (Simplified Chinese),Basic Information,Parking Vacancy Data
TDC144P1,Hoi Tat Estate carpark,海達邨停車場,海达邨停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc144p1.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc144p1.json
TDC146P1,Mong Kok Stadium,旺角大球場,旺角大球场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc146p1.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc146p1.json
TDC147P1,Mun Tung Estate Car park,滿東邨停車場,满东邨停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc147p1.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc147p1.json
TDC148P1,Wing Cheong Estate Car Park,榮昌邨停車場,荣昌邨停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc148p1.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc148p1.json
TDC149P1,Cheung Ching Estate Car Park,長青邨停車場,长青邨停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc149p1.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc149p1.json
TDC149P2,Cheung Ching Shopping Centre Car Park,長青商場停車場,长青商场停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc149p2.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc149p2.json
TDC14P1004,Choi Ming Car Park 1 ,彩明1號停車場,彩明1号停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p1004.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p1004.json
TDC14P1005,Choi Ming Car Park 2 ,彩明2號停車場,彩明2号停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p1005.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p1005.json
TDC14P1006,Kin Ming Car Park A ,健明A停車場,健明A停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p1006.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p1006.json
TDC14P1007,Tong Ming Car Park ,唐明停車場,唐明停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p1007.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p1007.json
TDC14P1008,Sheung Tak Car Park A ,尚德A停車場,尚德A停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p1008.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p1008.json
TDC14P1012,Sheung Tak Car Park B ,尚德B停車場,尚德B停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p1012.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p1012.json
TDC14P1015,Oi Tung Car Park ,愛東停車場,爱东停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p1015.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p1015.json
TDC14P1016,Yiu Tung Car Park 1 ,耀東1停車場,耀东1停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p1016.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p1016.json
TDC14P1017,Hing Tung Car Park ,興東停車場,兴东停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p1017.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p1017.json
TDC14P1030,Siu Sai Wan Phase 3 Car Park,小西灣三期停車場,小西湾三期停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p1030.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p1030.json
TDC14P1031,Siu Sai Wan Phase 1 Car Park ,小西灣一期停車場,小西湾一期停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p1031.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p1031.json
TDC14P1032,Tsui Wan Car Park ,翠灣停車場,翠湾停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p1032.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p1032.json
TDC14P1033,Wan Tsui Car Park ,環翠停車場,环翠停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p1033.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p1033.json
TDC14P1034,Hing Wah Car Park B ,興華B停車場,兴华B停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p1034.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p1034.json
TDC14P1037,Yiu Tung Car Park 2 ,耀東2停車場,耀东2停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p1037.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p1037.json
TDC14P2101,Chung On Car Park A ,頌安A停車場,颂安A停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p2101.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p2101.json
TDC14P2104,Heng On Car Park ,恆安停車場,恒安停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p2104.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p2104.json
TDC14P2106,Yiu On Car Park ,耀安停車場,耀安停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p2106.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p2106.json
